date,area_name,geo_code,total_households,owned_total,owned_outright,owned_mortgage,shared_ownership,Tenure of household: Shared ownership: Shared ownership,social_rented_total,social_council,social_other,private_rented_total,private_rented,private_other,rent_free,pct_date,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_shared_ownership,pct_Tenure of household: Shared ownership: Shared ownership,pct_social_rented_total,pct_social_council,pct_social_other,pct_private_rented_total,pct_private_rented,pct_private_other,pct_rent_free
2021,Hartlepool,E06000001,40929,23834,12761,11073,239,239,9594,3986,5608,7194,6338,856,68,4.94,58.23,31.18,27.05,0.58,0.58,23.44,9.74,13.7,17.58,15.49,2.09,0.17
2021,Middlesbrough,E06000002,60265,33137,17224,15913,330,330,14006,6773,7233,12677,11286,1391,115,3.35,54.99,28.58,26.41,0.55,0.55,23.24,11.24,12.0,21.04,18.73,2.31,0.19
2021,Redcar and Cleveland,E06000003,61638,39854,22649,17205,346,346,11649,5269,6380,9748,8410,1338,41,3.28,64.66,36.75,27.91,0.56,0.56,18.9,8.55,10.35,15.81,13.64,2.17,0.07
2021,Stockton-on-Tees,E06000004,83756,55412,27726,27686,385,385,13673,7204,6469,14207,12388,1819,79,2.41,66.16,33.1,33.06,0.46,0.46,16.32,8.6,7.72,16.96,14.79,2.17,0.09
2021,Darlington,E06000005,48915,30696,16222,14474,190,190,7931,5112,2819,10078,9035,1043,20,4.13,62.75,33.16,29.59,0.39,0.39,16.21,10.45,5.76,20.6,18.47,2.13,0.04
2021,Halton,E06000006,55951,33840,17096,16744,429,429,13619,2898,10721,8018,7088,930,45,3.61,60.48,30.56,29.93,0.77,0.77,24.34,5.18,19.16,14.33,12.67,1.66,0.08
2021,Warrington,E06000007,90538,62185,31939,30246,686,686,13842,4982,8860,13773,12193,1580,52,2.23,68.68,35.28,33.41,0.76,0.76,15.29,5.5,9.79,15.21,13.47,1.75,0.06
2021,Blackburn with Darwen,E06000008,58767,35531,19573,15958,308,308,11031,2718,8313,11850,10290,1560,47,3.44,60.46,33.31,27.15,0.52,0.52,18.77,4.63,14.15,20.16,17.51,2.65,0.08
2021,Blackpool,E06000009,64783,37234,20348,16886,213,213,6700,3947,2753,20569,18843,1726,67,3.12,57.47,31.41,26.07,0.33,0.33,10.34,6.09,4.25,31.75,29.09,2.66,0.1
2021,"Kingston upon Hull, City of",E06000010,115475,55741,26695,29046,585,585,31167,21768,9399,27593,25419,2174,389,1.75,48.27,23.12,25.15,0.51,0.51,26.99,18.85,8.14,23.9,22.01,1.88,0.34
