geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E06000001,Hartlepool,2011,59.84,27.43,23.53,14.77,1.37,35.49,31.71,24.66,7.68,0.46,32.8,64.51,54.686,-1.212
E06000001,Hartlepool,2021,58.23,31.18,23.44,17.58,0.17,42.17,33.56,18.49,5.57,0.21,24.27,57.83,54.686,-1.212
E06000002,Middlesbrough,2011,57.21,26.57,23.87,16.62,1.71,34.49,32.54,23.98,8.37,0.62,32.97,65.51,54.5742,-1.235
E06000002,Middlesbrough,2021,54.99,28.58,23.24,21.04,0.19,42.16,33.84,17.95,5.84,0.21,24.0,57.84,54.5742,-1.235
E06000003,Redcar and Cleveland,2011,66.61,33.23,19.41,12.47,1.08,37.78,32.47,23.11,6.18,0.47,29.76,62.22,54.6019,-1.0708
E06000003,Redcar and Cleveland,2021,64.66,36.75,18.9,15.81,0.07,44.12,34.17,16.72,4.82,0.17,21.71,55.88,54.6019,-1.0708
E06000004,Stockton-on-Tees,2011,68.5,29.42,17.21,13.12,0.84,43.34,31.19,19.9,5.2,0.37,25.47,56.66,54.5704,-1.329
E06000004,Stockton-on-Tees,2021,66.16,33.1,16.32,16.96,0.09,48.35,32.46,15.06,3.97,0.16,19.19,51.65,54.5704,-1.329
E06000005,Darlington,2011,64.9,29.59,15.49,18.24,0.99,43.25,31.97,19.19,5.16,0.43,24.78,56.75,54.527,-1.5534
E06000005,Darlington,2021,62.75,33.16,16.21,20.6,0.04,48.6,33.49,14.2,3.55,0.16,17.9,51.4,54.527,-1.5534
E06000006,Halton,2011,63.39,27.08,25.21,9.78,1.01,37.63,31.22,22.96,7.7,0.5,31.16,62.37,53.3667,-2.7333
E06000006,Halton,2021,60.48,30.56,24.34,14.33,0.08,43.22,33.48,17.59,5.52,0.18,23.3,56.78,53.3667,-2.7333
E06000007,Warrington,2011,71.55,31.95,15.64,11.22,0.85,47.22,30.46,17.57,4.41,0.34,22.32,52.78,53.39,-2.597
E06000007,Warrington,2021,68.68,35.28,15.29,15.21,0.06,51.91,32.07,12.77,3.12,0.13,16.02,48.09,53.39,-2.597
E06000008,Blackburn with Darwen,2011,64.15,31.45,18.12,15.68,1.54,35.92,32.12,22.85,8.33,0.78,31.97,64.08,53.748,-2.482
E06000008,Blackburn with Darwen,2021,60.46,33.31,18.77,20.16,0.08,41.16,34.0,18.24,6.28,0.32,24.84,58.84,53.748,-2.482
E06000009,Blackpool,2011,61.6,30.01,10.87,26.05,1.1,31.55,32.16,25.58,9.3,1.41,36.29,68.45,53.8175,-3.0357
E06000009,Blackpool,2021,57.47,31.41,10.34,31.75,0.1,38.23,35.11,19.73,6.46,0.47,26.66,61.77,53.8175,-3.0357
E06000010,"Kingston upon Hull, City of",2011,49.54,19.85,28.1,20.41,1.5,33.5,33.04,24.78,8.01,0.66,33.46,66.5,53.7457,-0.3367
