geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E06000001,Hartlepool,58.23,31.18,23.44,17.58,0.17,42.17,33.56,18.49,5.57,0.21,24.27,57.83,2021
E06000002,Middlesbrough,54.99,28.58,23.24,21.04,0.19,42.16,33.84,17.95,5.84,0.21,24.0,57.84,2021
E06000003,Redcar and Cleveland,64.66,36.75,18.9,15.81,0.07,44.12,34.17,16.72,4.82,0.17,21.71,55.88,2021
E06000004,Stockton-on-Tees,66.16,33.1,16.32,16.96,0.09,48.35,32.46,15.06,3.97,0.16,19.19,51.65,2021
E06000005,Darlington,62.75,33.16,16.21,20.6,0.04,48.6,33.49,14.2,3.55,0.16,17.9,51.4,2021
E06000006,Halton,60.48,30.56,24.34,14.33,0.08,43.22,33.48,17.59,5.52,0.18,23.3,56.78,2021
E06000007,Warrington,68.68,35.28,15.29,15.21,0.06,51.91,32.07,12.77,3.12,0.13,16.02,48.09,2021
E06000008,Blackburn with Darwen,60.46,33.31,18.77,20.16,0.08,41.16,34.0,18.24,6.28,0.32,24.84,58.84,2021
E06000009,Blackpool,57.47,31.41,10.34,31.75,0.1,38.23,35.11,19.73,6.46,0.47,26.66,61.77,2021
E06000010,"Kingston upon Hull, City of",48.27,23.12,26.99,23.9,0.34,41.18,34.1,18.87,5.59,0.26,24.72,58.82,2021
E06000011,East Riding of Yorkshire,73.12,43.19,9.39,16.92,0.15,51.1,34.02,12.44,2.33,0.11,14.88,48.9,2021
E06000012,North East Lincolnshire,63.85,34.91,13.16,22.4,0.07,43.97,34.59,16.64,4.61,0.19,21.45,56.03,2021
E06000013,North Lincolnshire,67.51,38.03,14.97,17.16,0.09,46.1,35.04,15.24,3.51,0.12,18.87,53.9,2021
E06000014,York,65.1,36.81,13.95,19.99,0.11,53.86,32.66,11.14,2.24,0.1,13.48,46.14,2021
E06000015,Derby,59.03,31.6,18.79,21.25,0.18,45.61,33.75,15.72,4.64,0.28,20.64,54.39,2021
E06000016,Leicester,46.65,24.59,23.15,29.39,0.29,38.78,35.82,18.91,5.98,0.5,25.4,61.22,2021
E06000017,Rutland,70.94,43.65,10.9,16.72,0.05,57.95,31.65,9.16,1.19,0.05,10.39,42.05,2021
E06000018,Nottingham,45.14,22.4,25.49,28.61,0.27,41.59,34.43,18.07,5.62,0.29,23.98,58.41,2021
E06000019,"Herefordshire, County of",66.36,42.34,13.65,18.84,0.04,49.43,34.64,12.99,2.76,0.18,15.93,50.57,2021
E06000020,Telford and Wrekin,59.95,30.18,18.02,21.17,0.1,45.99,33.89,15.85,4.1,0.16,20.12,54.01,2021
E06000021,Stoke-on-Trent,56.75,30.4,22.25,20.29,0.34,41.09,34.95,18.22,5.5,0.24,23.96,58.91,2021
E06000022,Bath and North East Somerset,65.28,36.41,14.34,19.32,0.07,54.09,32.17,11.3,2.3,0.14,13.74,45.91,2021
E06000023,"Bristol, City of",53.97,25.15,18.72,26.2,0.25,50.16,31.78,13.83,3.92,0.3,18.06,49.84,2021
E06000024,North Somerset,71.61,39.36,9.21,18.41,0.06,51.51,33.48,12.1,2.71,0.2,15.01,48.49,2021
E06000025,South Gloucestershire,72.39,36.6,10.79,15.74,0.04,53.94,32.72,11.15,2.08,0.12,13.35,46.06,2021
E06000026,Plymouth,57.65,29.49,18.43,22.63,0.12,45.48,33.96,15.91,4.41,0.25,20.57,54.52,2021
E06000027,Torbay,64.07,39.15,8.29,26.62,0.03,42.13,35.89,16.85,4.74,0.4,21.99,57.87,2021
E06000030,Swindon,63.68,29.18,15.59,19.32,0.16,49.29,33.8,13.42,3.3,0.19,16.91,50.71,2021
E06000031,Peterborough,55.47,26.34,18.64,24.38,0.12,45.05,34.91,15.5,4.23,0.3,20.04,54.95,2021
E06000032,Luton,53.94,25.71,16.37,28.99,0.16,41.31,36.44,17.13,4.73,0.4,22.25,58.69,2021
E06000033,Southend-on-Sea,61.3,31.56,11.51,26.5,0.05,45.58,34.54,15.29,4.18,0.41,19.88,54.42,2021
E06000034,Thurrock,63.31,25.48,17.68,18.28,0.07,45.66,34.94,15.37,3.77,0.26,19.4,54.34,2021
E06000035,Medway,64.71,30.85,13.57,20.18,0.06,46.48,34.46,14.82,3.88,0.35,19.06,53.52,2021
E06000036,Bracknell Forest,66.75,28.83,15.7,15.73,0.07,56.37,31.13,10.21,2.13,0.16,12.5,43.63,2021
E06000037,West Berkshire,67.56,34.82,13.96,17.15,0.01,55.99,31.59,10.24,2.05,0.13,12.42,44.01,2021
E06000038,Reading,50.43,22.79,16.14,31.95,0.18,51.24,32.17,12.83,3.47,0.29,16.59,48.76,2021
E06000039,Slough,48.45,19.49,19.58,30.7,0.17,42.32,36.58,16.41,4.37,0.32,21.1,57.68,2021
E06000040,Windsor and Maidenhead,66.15,33.47,12.56,20.6,0.04,58.96,29.8,9.39,1.76,0.09,11.24,41.04,2021
E06000041,Wokingham,76.05,36.08,7.71,14.14,0.04,61.47,29.17,7.97,1.3,0.09,9.36,38.53,2021
E06000042,Milton Keynes,54.77,24.04,18.08,20.92,0.13,51.25,32.52,12.77,3.23,0.23,16.23,48.75,2021
E06000043,Brighton and Hove,51.41,25.08,14.87,32.69,0.21,47.88,33.0,14.38,4.28,0.46,19.13,52.12,2021
E06000044,Portsmouth,52.26,25.49,18.0,28.63,0.22,47.19,33.43,14.96,4.09,0.33,19.38,52.81,2021
E06000045,Southampton,47.74,22.53,21.9,29.19,0.13,45.36,34.29,15.48,4.47,0.4,20.35,54.64,2021
E06000046,Isle of Wight,67.65,44.36,10.89,20.66,0.01,44.1,36.24,15.55,3.81,0.3,19.65,55.9,2021
E06000047,County Durham,62.54,34.52,19.96,17.12,0.08,44.48,33.74,17.0,4.66,0.13,21.78,55.52,2021
E06000049,Cheshire East,71.86,39.57,11.58,15.51,0.05,54.79,31.59,11.2,2.34,0.09,13.63,45.21,2021
E06000050,Cheshire West and Chester,68.29,37.14,14.64,15.72,0.1,52.05,32.12,12.63,3.04,0.16,15.83,47.95,2021
E06000051,Shropshire,68.62,42.46,13.02,17.46,0.06,50.78,34.04,12.44,2.65,0.1,15.19,49.22,2021
E06000052,Cornwall,66.24,41.77,12.79,19.71,0.09,46.11,35.48,14.65,3.49,0.28,18.41,53.89,2021
E06000053,Isles of Scilly,44.52,34.08,17.25,36.63,0.11,50.74,35.77,11.25,2.23,0.0,13.48,49.26,2021
E06000054,Wiltshire,66.84,37.3,14.52,17.4,0.05,53.42,32.98,11.25,2.25,0.1,13.61,46.58,2021
E06000055,Bedford,62.66,31.17,16.28,19.1,0.06,51.64,32.68,12.4,2.97,0.31,15.68,48.36,2021
E06000056,Central Bedfordshire,71.16,33.64,13.31,13.72,0.06,54.77,32.24,10.71,2.16,0.11,12.98,45.23,2021
E07000008,Cambridge,44.08,24.58,22.66,31.43,0.16,56.5,30.24,10.45,2.65,0.16,13.26,43.5,2021
E07000009,East Cambridgeshire,68.03,36.25,13.98,16.45,0.03,53.41,33.29,11.1,2.12,0.08,13.3,46.59,2021
E07000010,Fenland,66.81,37.73,12.66,19.95,0.04,41.67,37.36,16.88,3.86,0.22,20.97,58.33,2021
E07000011,Huntingdonshire,68.97,35.93,12.86,16.78,0.03,53.6,32.93,11.15,2.21,0.11,13.47,46.4,2021
E07000012,South Cambridgeshire,68.9,36.46,14.47,14.01,0.12,58.41,30.89,9.07,1.57,0.05,10.7,41.59,2021
E07000026,Allerdale,68.33,42.69,18.9,12.2,0.02,48.07,34.0,14.17,3.64,0.11,17.93,51.93,2021
E07000027,Barrow-in-Furness,71.85,39.19,11.04,16.82,0.11,46.7,32.83,15.81,4.47,0.19,20.47,53.3,2021
E07000028,Carlisle,67.2,38.35,14.35,17.57,0.05,48.88,33.65,13.77,3.57,0.13,17.47,51.12,2021
E07000029,Copeland,70.93,42.19,17.63,11.04,0.08,47.05,33.19,15.19,4.42,0.15,19.77,52.95,2021
E07000030,Eden,70.54,47.38,10.33,18.09,0.0,51.88,34.78,11.09,2.16,0.09,13.34,48.12,2021
E07000031,South Lakeland,71.9,46.99,10.73,16.73,0.06,55.07,33.04,10.15,1.66,0.07,11.88,44.93,2021
E07000032,Amber Valley,72.01,40.96,12.74,14.63,0.09,48.9,33.57,13.97,3.42,0.13,17.53,51.1,2021
E07000033,Bolsover,65.97,35.14,16.34,17.17,0.18,42.72,34.49,17.92,4.74,0.13,22.79,57.28,2021
E07000034,Chesterfield,62.58,35.89,20.74,16.19,0.16,44.71,34.2,16.41,4.47,0.21,21.08,55.29,2021
E07000035,Derbyshire Dales,71.95,47.72,12.62,14.4,0.03,52.93,33.34,11.68,1.94,0.11,13.73,47.07,2021
E07000036,Erewash,69.87,37.52,12.71,16.83,0.06,48.04,33.88,14.23,3.69,0.16,18.08,51.96,2021
