geo_code,total_16_74,employed_parttime,employed_fulltime,self_employed,unemployed,active_student,inactive_retired,inactive_student,inactive_home,inactive_sick,inactive_other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,employed_total,inactive_total,area_name,pct_employed_parttime,pct_employed_fulltime,pct_self_employed,pct_unemployed,pct_active_student,pct_inactive_retired,pct_inactive_student,pct_inactive_home,pct_inactive_sick,pct_inactive_other,pct_Unemployed: Age 16 to 24,pct_Unemployed: Age 50 to 74,pct_Unemployed: Never worked,pct_Long-term unemployed,pct_employed_total,pct_inactive_total
E06000001,66804,10092,22635,3805,5194,1787,10621,3042,3265,4733,1630,1586,859,969,2089,36532,23291,Hartlepool,15.11,33.88,5.7,7.77,2.67,15.9,4.55,4.89,7.08,2.44,2.37,1.29,1.45,3.13,54.69,34.86
E06000002,100551,15063,31301,5171,7631,4416,13922,7453,5569,6841,3184,2296,1273,1709,3070,51535,36969,Middlesbrough,14.98,31.13,5.14,7.59,4.39,13.85,7.41,5.54,6.8,3.17,2.28,1.27,1.7,3.05,51.25,36.77
E06000003,99177,15322,33372,5864,6533,2439,19206,4142,4361,5869,2069,2052,1204,1225,2692,54558,35647,Redcar and Cleveland,15.45,33.65,5.91,6.59,2.46,19.37,4.18,4.4,5.92,2.09,2.07,1.21,1.24,2.71,55.01,35.94
E06000004,140654,22070,52927,8941,8075,4246,20767,7277,5911,6861,3579,2431,1413,1464,3345,83938,44395,Stockton-on-Tees,15.69,37.63,6.36,5.74,3.02,14.76,5.17,4.2,4.88,2.54,1.73,1.0,1.04,2.38,59.68,31.56
E06000005,76635,11555,30337,5595,4002,1954,12214,2742,3081,3737,1418,1260,724,629,1613,47487,23192,Darlington,15.08,39.59,7.3,5.22,2.55,15.94,3.58,4.02,4.88,1.85,1.64,0.94,0.82,2.1,61.97,30.26
E06000006,92708,13102,37219,5420,5151,2519,13332,3858,3900,6451,1756,1648,878,799,1993,55741,29297,Halton,14.13,40.15,5.85,5.56,2.72,14.38,4.16,4.21,6.96,1.89,1.78,0.95,0.86,2.15,60.13,31.6
E06000007,149461,21782,63875,11617,5961,4530,22189,5441,4917,6063,3086,1759,1121,663,2263,97274,41696,Warrington,14.57,42.74,7.77,3.99,3.03,14.85,3.64,3.29,4.06,2.06,1.18,0.75,0.44,1.51,65.08,27.9
E06000008,104417,14535,35597,7997,5575,3329,13248,6065,7061,7378,3632,1627,808,1091,2219,58129,37384,Blackburn with Darwen,13.92,34.09,7.66,5.34,3.19,12.69,5.81,6.76,7.07,3.48,1.56,0.77,1.04,2.13,55.67,35.8
E06000009,103813,14836,34230,9960,6337,3177,16807,3809,3943,8228,2486,1872,1081,801,2557,59026,35273,Blackpool,14.29,32.97,9.59,6.1,3.06,16.19,3.67,3.8,7.93,2.39,1.8,1.04,0.77,2.46,56.86,33.98
E06000010,190610,28041,68035,9814,15296,6944,23025,13243,9482,11524,5206,4301,2311,2624,7003,105890,62480,"Kingston upon Hull, City of",14.71,35.69,5.15,8.02,3.64,12.08,6.95,4.97,6.05,2.73,2.26,1.21,1.38,3.67,55.55,32.78
E06000011,245594,37856,90761,24834,8795,6614,47790,9149,7849,7720,4226,2451,2006,1082,3392,153451,76734,East Riding of Yorkshire,15.41,36.96,10.11,3.58,2.69,19.46,3.73,3.2,3.14,1.72,1.0,0.82,0.44,1.38,62.48,31.24
E06000012,115823,19086,42039,7484,7486,3132,18018,4825,5635,5612,2506,2313,1299,1118,3143,68609,36596,North East Lincolnshire,16.48,36.3,6.46,6.46,2.7,15.56,4.17,4.87,4.85,2.16,2.0,1.12,0.97,2.71,59.24,31.6
E06000013,122329,18768,48278,8869,5869,2884,20296,4569,5433,5151,2212,1762,1080,952,2355,75915,37661,North Lincolnshire,15.34,39.47,7.25,4.8,2.36,16.59,3.74,4.44,4.21,1.81,1.44,0.88,0.78,1.93,62.06,30.79
E06000014,149789,22487,57032,12328,4582,8516,20688,14387,4107,3678,1984,1341,894,485,1662,91847,44844,York,15.01,38.07,8.23,3.06,5.69,13.81,9.6,2.74,2.46,1.32,0.9,0.6,0.32,1.11,61.32,29.94
E06000015,179291,26310,68979,11657,9297,7448,22925,11237,8595,8574,4269,2961,1277,1760,3668,106946,55600,Derby,14.67,38.47,6.5,5.19,4.15,12.79,6.27,4.79,4.78,2.38,1.65,0.71,0.98,2.05,59.65,31.01
E06000016,242232,33341,80780,14021,14982,13301,22435,27604,15035,12397,8336,3920,2530,3165,6109,128142,85807,Leicester,13.76,33.35,5.79,6.18,5.49,9.26,11.4,6.21,5.12,3.44,1.62,1.04,1.31,2.52,52.9,35.42
E06000017,27052,3847,10314,3348,643,606,4579,1568,878,463,806,165,187,69,245,17509,8294,Rutland,14.22,38.13,12.38,2.38,2.24,16.93,5.8,3.25,1.71,2.98,0.61,0.69,0.26,0.91,64.72,30.66
E06000018,232072,27605,72252,13004,14775,14691,21144,37733,10854,13161,6853,4359,2075,2879,5834,112861,89745,Nottingham,11.9,31.13,5.6,6.37,6.33,9.11,16.26,4.68,5.67,2.95,1.88,0.89,1.24,2.51,48.63,38.67
E06000019,133442,20345,48094,19151,4353,3171,22149,4845,4636,4600,2098,1308,976,493,1630,87590,38328,"Herefordshire, County of",15.25,36.04,14.35,3.26,2.38,16.6,3.63,3.47,3.45,1.57,0.98,0.73,0.37,1.22,65.64,28.72
