geo_code,total_households,occ_plus2_more,occ_plus1,occ_zero,occ_minus1,occ_minus2_less,overcrowded_total,area_name,pct_occ_plus2_more,pct_occ_plus1,pct_occ_zero,pct_occ_minus1,pct_occ_minus2_less,pct_overcrowded_total
E06000001,40434,14261,15525,9576,947,125,1072,Hartlepool,35.27,38.4,23.68,2.34,0.31,2.65
E06000002,57203,18686,20890,15031,2246,350,2596,Middlesbrough,32.67,36.52,26.28,3.93,0.61,4.54
E06000003,59605,22262,22543,13404,1280,116,1396,Redcar and Cleveland,37.35,37.82,22.49,2.15,0.19,2.34
E06000004,79159,31297,28543,16962,2118,239,2357,Stockton-on-Tees,39.54,36.06,21.43,2.68,0.3,2.98
E06000005,46670,15682,18270,11450,1149,119,1268,Darlington,33.6,39.15,24.53,2.46,0.25,2.72
E06000006,53312,19128,19560,13103,1379,142,1521,Halton,35.88,36.69,24.58,2.59,0.27,2.85
E06000007,85140,33989,29986,19115,1825,225,2050,Warrington,39.92,35.22,22.45,2.14,0.26,2.41
E06000008,57353,15243,22427,16138,2914,631,3545,Blackburn with Darwen,26.58,39.1,28.14,5.08,1.1,6.18
E06000009,64367,19889,23113,19474,1712,179,1891,Blackpool,30.9,35.91,30.25,2.66,0.28,2.94
E06000010,112596,29218,44393,34194,4298,493,4791,"Kingston upon Hull, City of",25.95,39.43,30.37,3.82,0.44,4.26
E06000011,143032,61378,53874,25055,2484,241,2725,East Riding of Yorkshire,42.91,37.67,17.52,1.74,0.17,1.91
E06000012,69707,27152,25188,15627,1575,165,1740,North East Lincolnshire,38.95,36.13,22.42,2.26,0.24,2.5
E06000013,70684,29587,25328,13814,1715,240,1955,North Lincolnshire,41.86,35.83,19.54,2.43,0.34,2.77
E06000014,83552,29882,30944,19792,2668,266,2934,York,35.76,37.04,23.69,3.19,0.32,3.51
E06000015,102271,33257,36315,27581,4280,838,5118,Derby,32.52,35.51,26.97,4.18,0.82,5.0
E06000016,123125,30396,37782,42895,9758,2294,12052,Leicester,24.69,30.69,34.84,7.93,1.86,9.79
E06000017,15002,7964,4644,2209,164,21,185,Rutland,53.09,30.96,14.72,1.09,0.14,1.23
E06000018,126131,34176,43792,40587,6525,1051,7576,Nottingham,27.1,34.72,32.18,5.17,0.83,6.01
E06000019,78319,34194,24992,16836,2027,270,2297,"Herefordshire, County of",43.66,31.91,21.5,2.59,0.34,2.93
E06000020,66608,25368,24158,14801,1969,312,2281,Telford and Wrekin,38.09,36.27,22.22,2.96,0.47,3.42
E06000021,107575,27436,44489,30921,4119,610,4729,Stoke-on-Trent,25.5,41.36,28.74,3.83,0.57,4.4
