geo_code,total_households,owned_total,owned_outright,owned_mortgage,shared_ownership,social_rented_total,social_council,social_other,private_rented_total,private_rented,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,rent_free,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_shared_ownership,pct_social_rented_total,pct_social_council,pct_social_other,pct_private_rented_total,pct_private_rented,pct_Private rented: Employer of a household member,pct_Private rented: Relative or friend of household member,pct_Private rented: Other,pct_rent_free
E06000001,40434,24194,11090,13104,200,9515,4016,5499,5971,5525,26,349,71,554,Hartlepool,59.84,27.43,32.41,0.49,23.53,9.93,13.6,14.77,13.66,0.06,0.86,0.18,1.37
E06000002,57203,32723,15200,17523,336,13654,6049,7605,9509,8648,98,570,193,981,Middlesbrough,57.21,26.57,30.63,0.59,23.87,10.57,13.29,16.62,15.12,0.17,1.0,0.34,1.71
E06000003,59605,39705,19806,19899,256,11568,5999,5569,7434,6698,55,578,103,642,Redcar and Cleveland,66.61,33.23,33.38,0.43,19.41,10.06,9.34,12.47,11.24,0.09,0.97,0.17,1.08
E06000004,79159,54225,23285,30940,255,13625,7285,6340,10387,9417,41,788,141,667,Stockton-on-Tees,68.5,29.42,39.09,0.32,17.21,9.2,8.01,13.12,11.9,0.05,1.0,0.18,0.84
E06000005,46670,30289,13810,16479,178,7228,5238,1990,8513,7758,112,546,97,462,Darlington,64.9,29.59,35.31,0.38,15.49,11.22,4.26,18.24,16.62,0.24,1.17,0.21,0.99
E06000006,53312,33796,14436,19360,322,13441,2502,10939,5212,4752,14,376,70,541,Halton,63.39,27.08,36.31,0.6,25.21,4.69,20.52,9.78,8.91,0.03,0.71,0.13,1.01
E06000007,85140,60915,27206,33709,637,13318,6147,7171,9549,8683,52,718,96,721,Warrington,71.55,31.95,39.59,0.75,15.64,7.22,8.42,11.22,10.2,0.06,0.84,0.11,0.85
E06000008,57353,36793,18039,18754,290,10391,3228,7163,8993,8113,72,618,190,886,Blackburn with Darwen,64.15,31.45,32.7,0.51,18.12,5.63,12.49,15.68,14.15,0.13,1.08,0.33,1.54
E06000009,64367,39650,19318,20332,239,6999,4823,2176,16770,15549,62,1062,97,709,Blackpool,61.6,30.01,31.59,0.37,10.87,7.49,3.38,26.05,24.16,0.1,1.65,0.15,1.1
E06000010,112596,55785,22355,33430,505,31634,23838,7796,22984,21414,63,1125,382,1688,"Kingston upon Hull, City of",49.54,19.85,29.69,0.45,28.1,21.17,6.92,20.41,19.02,0.06,1.0,0.34,1.5
E06000011,143032,107706,56140,51566,433,13028,10453,2575,19648,17760,298,1336,254,2217,East Riding of Yorkshire,75.3,39.25,36.05,0.3,9.11,7.31,1.8,13.74,12.42,0.21,0.93,0.18,1.55
