geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E06000001,Hartlepool,59.84,27.43,32.41,23.53,14.77,1.37,2.65,2.34,0.31,23.68,38.4,35.27,35.49,31.71,24.66,7.68,0.46,32.8,64.51,7.77,54.69,34.86,7.08,5.7,2011
E06000002,Middlesbrough,57.21,26.57,30.63,23.87,16.62,1.71,4.54,3.93,0.61,26.28,36.52,32.67,34.49,32.54,23.98,8.37,0.62,32.97,65.51,7.59,51.25,36.77,6.8,5.14,2011
E06000003,Redcar and Cleveland,66.61,33.23,33.38,19.41,12.47,1.08,2.34,2.15,0.19,22.49,37.82,37.35,37.78,32.47,23.11,6.18,0.47,29.76,62.22,6.59,55.01,35.94,5.92,5.91,2011
E06000004,Stockton-on-Tees,68.5,29.42,39.09,17.21,13.12,0.84,2.98,2.68,0.3,21.43,36.06,39.54,43.34,31.19,19.9,5.2,0.37,25.47,56.66,5.74,59.68,31.56,4.88,6.36,2011
E06000005,Darlington,64.9,29.59,35.31,15.49,18.24,0.99,2.72,2.46,0.25,24.53,39.15,33.6,43.25,31.97,19.19,5.16,0.43,24.78,56.75,5.22,61.97,30.26,4.88,7.3,2011
E06000006,Halton,63.39,27.08,36.31,25.21,9.78,1.01,2.85,2.59,0.27,24.58,36.69,35.88,37.63,31.22,22.96,7.7,0.5,31.16,62.37,5.56,60.13,31.6,6.96,5.85,2011
E06000007,Warrington,71.55,31.95,39.59,15.64,11.22,0.85,2.41,2.14,0.26,22.45,35.22,39.92,47.22,30.46,17.57,4.41,0.34,22.32,52.78,3.99,65.08,27.9,4.06,7.77,2011
E06000008,Blackburn with Darwen,64.15,31.45,32.7,18.12,15.68,1.54,6.18,5.08,1.1,28.14,39.1,26.58,35.92,32.12,22.85,8.33,0.78,31.97,64.08,5.34,55.67,35.8,7.07,7.66,2011
E06000009,Blackpool,61.6,30.01,31.59,10.87,26.05,1.1,2.94,2.66,0.28,30.25,35.91,30.9,31.55,32.16,25.58,9.3,1.41,36.29,68.45,6.1,56.86,33.98,7.93,9.59,2011
E06000010,"Kingston upon Hull, City of",49.54,19.85,29.69,28.1,20.41,1.5,4.26,3.82,0.44,30.37,39.43,25.95,33.5,33.04,24.78,8.01,0.66,33.46,66.5,8.02,55.55,32.78,6.05,5.15,2011
E06000011,East Riding of Yorkshire,75.3,39.25,36.05,9.11,13.74,1.55,1.91,1.74,0.17,17.52,37.67,42.91,46.18,32.67,17.61,3.26,0.28,21.15,53.82,3.58,62.48,31.24,3.14,10.11,2011
E06000012,North East Lincolnshire,66.09,30.84,35.25,14.48,18.11,1.01,2.5,2.26,0.24,22.42,36.13,38.95,38.12,33.28,22.24,5.93,0.43,28.6,61.88,6.46,59.24,31.6,4.85,6.46,2011
E06000013,North Lincolnshire,69.52,33.04,36.48,15.41,13.41,1.41,2.77,2.43,0.34,19.54,35.83,41.86,41.64,33.11,20.53,4.41,0.31,25.24,58.36,4.8,62.06,30.79,4.21,7.25,2011
E06000014,York,66.1,33.93,32.17,13.98,17.93,1.24,3.51,3.19,0.32,23.69,37.04,35.76,49.56,32.17,14.99,3.02,0.25,18.27,50.44,3.06,61.32,29.94,2.46,8.23,2011
